campaign_subject_key	dilemma_key	weighting
#dilemma_to_campaign_subject_junctions_tables;0;db/dilemma_to_campaign_subject_junctions_tables/dilemma_to_campaign_subject_junctions		
barb_hostile_dispute	barb_hostile_dispute	5.0000
barb_hostile_governor	barb_hostile_governor	5.0000
barb_my_sword	barb_my_sword	5.0000
barb_secret_meetings	barb_secret_meetings	5.0000
barb_trading_enemy	barb_trading_enemy	5.0000
barb_tribal_loyalty	barb_tribal_loyalty	5.0000
barb_young_challenger	barb_young_challenger	5.0000
eas_agrarian_agitator	eas_agrarian_agitator	5.0000
eas_hostile_dispute	eas_hostile_dispute	5.0000
eas_hostile_governor	eas_hostile_governor	5.0000
eas_secret_meetings	eas_secret_meetings	5.0000
eas_temple_sacrilege	eas_temple_sacrilege	5.0000
eas_young_challenger	eas_young_challenger	5.0000
gre_agrarian_agitator	gre_agrarian_agitator	5.0000
gre_hostile_dispute	gre_hostile_dispute	5.0000
gre_hostile_governor	gre_hostile_governor	5.0000
gre_secret_meetings	gre_secret_meetings	5.0000
gre_temple_sacrilege	gre_temple_sacrilege	5.0000
gre_young_challenger	gre_young_challenger	5.0000
rom_agrarian_agitator	rom_agrarian_agitator	5.0000
rom_banning_corrupt	rom_banning_corrupt	5.0000
rom_hostile_dispute	rom_hostile_dispute	5.0000
rom_hostile_governor	rom_hostile_governor	5.0000
rom_secret_meetings	rom_secret_meetings	5.0000
rom_subject_barb_britons_sacred_sword	rom_subject_barb_britons_sacred_sword	5.0000
rom_subject_barb_creature_1_white_faun	rom_subject_barb_creature_1_white_faun	5.0000
rom_subject_barb_family_member_1_brotherly_love	rom_subject_barb_family_member_1_brotherly_love	5.0000
rom_subject_barb_family_member_2_younger_son	rom_subject_barb_family_member_2_younger_son	5.0000
rom_subject_barb_family_member_3_kidnapped	rom_subject_barb_family_member_3_kidnapped	5.0000
rom_subject_barb_family_member_4_dead	rom_subject_barb_family_member_4_dead	5.0000
rom_subject_barb_family_member_5_long_lost_flavour	rom_subject_barb_family_member_5_long_lost_flavour	5.0000
rom_subject_barb_family_member_6_unfaithful_woman	rom_subject_barb_family_member_6_unfaithful_woman	5.0000
rom_subject_barb_family_member_7_hares	rom_subject_barb_family_member_7_hares	5.0000
rom_subject_barb_gaul_family_member_blessed_by_the_gods_1	rom_subject_barb_gaul_family_member_blessed_by_the_gods_1	5.0000
rom_subject_barb_profession_1_chariot	rom_subject_barb_profession_1_chariot	5.0000
rom_subject_barb_religious_1_looters	rom_subject_barb_religious_1_looters	5.0000
rom_subject_barb_religious_2_talking_head	rom_subject_barb_religious_2_talking_head	5.0000
rom_subject_barb_religious_3_drought	rom_subject_barb_religious_3_drought	5.0000
rom_subject_barb_religious_4_hag	rom_subject_barb_religious_4_hag	5.0000
rom_subject_barb_religious_5_the_hunt	rom_subject_barb_religious_5_the_hunt	5.0000
rom_subject_barb_the_hunt	rom_subject_barb_the_hunt	5.0000
rom_subject_barb_trade_1_Silk	rom_subject_barb_trade_1_Silk	5.0000
rom_subject_barb_trade_2_Spices	rom_subject_barb_trade_2_Spices	5.0000
rom_subject_barb_trade_3_Nisean	rom_subject_barb_trade_3_Nisean	5.0000
rom_subject_barb_trade_4_Wine	rom_subject_barb_trade_4_Wine	5.0000
rom_subject_barb_trade_5_tyrian_purple	rom_subject_barb_trade_5_tyrian_purple	5.0000
rom_subject_barb_vanquished_leader	rom_subject_barb_vanquished_leader	5.0000
rom_subject_barb_witchcraft	rom_subject_barb_witchcraft	5.0000
rom_subject_eastern_archon_1_death	rom_subject_eastern_archon_1_death	5.0000
rom_subject_eastern_archon_2_plenty_slaves	rom_subject_eastern_archon_2_plenty_slaves	5.0000
rom_subject_eastern_archon_3_lack_slaves	rom_subject_eastern_archon_3_lack_slaves	5.0000
rom_subject_eastern_archon_4_evil_eye	rom_subject_eastern_archon_4_evil_eye	5.0000
rom_subject_eastern_archon_5_Barren_land	rom_subject_eastern_archon_5_Barren_land	5.0000
rom_subject_eastern_concubine_1_foreign_beauty	rom_subject_eastern_concubine_1_foreign_beauty	5.0000
rom_subject_eastern_concubine_2_killer_queen	rom_subject_eastern_concubine_2_killer_queen	5.0000
rom_subject_eastern_concubine_3_plots	rom_subject_eastern_concubine_3_plots	5.0000
rom_subject_eastern_creature_1_griffin	rom_subject_eastern_creature_1_griffin	5.0000
rom_subject_eastern_creature_2_djinn	rom_subject_eastern_creature_2_djinn	5.0000
rom_subject_eastern_family_member_1_revenge	rom_subject_eastern_family_member_1_revenge	5.0000
rom_subject_eastern_family_member_2_debauched	rom_subject_eastern_family_member_2_debauched	5.0000
rom_subject_eastern_family_member_3_greek_lover	rom_subject_eastern_family_member_3_greek_lover	5.0000
rom_subject_eastern_family_member_4_kidnapped	rom_subject_eastern_family_member_4_kidnapped	5.0000
rom_subject_eastern_profession_1_Goldsmith	rom_subject_eastern_profession_1_Goldsmith	5.0000
rom_subject_eastern_profession_2_rhyton	rom_subject_eastern_profession_2_rhyton	5.0000
rom_subject_eastern_profession_3_caravans	rom_subject_eastern_profession_3_caravans	5.0000
rom_subject_eastern_profession_3_gosan	rom_subject_eastern_profession_3_gosan	5.0000
rom_subject_eastern_religious_1_star_flood	rom_subject_eastern_religious_1_star_flood	5.0000
rom_subject_eastern_religious_2_dark_dreams	rom_subject_eastern_religious_2_dark_dreams	5.0000
rom_subject_eastern_religious_3_star_prosperity	rom_subject_eastern_religious_3_star_prosperity	5.0000
rom_subject_eastern_religious_4_star_baby	rom_subject_eastern_religious_4_star_baby	5.0000
rom_subject_eastern_trade_1_Silk	rom_subject_eastern_trade_1_Silk	5.0000
rom_subject_eastern_trade_2_Nisean	rom_subject_eastern_trade_2_Nisean	5.0000
rom_subject_hellenic_family_member_1_debt	rom_subject_hellenic_family_member_1_debt	5.0000
rom_subject_hellenic_family_member_2_debt_own	rom_subject_hellenic_family_member_2_debt_own	5.0000
rom_subject_hellenic_family_member_3_promising	rom_subject_hellenic_family_member_3_promising	5.0000
rom_subject_hellenic_family_member_4_Agamemnon	rom_subject_hellenic_family_member_4_Agamemnon	5.0000
rom_subject_hellenic_hetaira_1	rom_subject_hellenic_hetaira_1	5.0000
rom_subject_hellenic_hetaira_2	rom_subject_hellenic_hetaira_2	5.0000
rom_subject_hellenic_hetaira_3	rom_subject_hellenic_hetaira_3	5.0000
rom_subject_hellenic_hetaira_4	rom_subject_hellenic_hetaira_4	5.0000
rom_subject_hellenic_magistrate_1_Barren_land	rom_subject_hellenic_magistrate_1_Barren_land	5.0000
rom_subject_hellenic_magistrate_2_Wine	rom_subject_hellenic_magistrate_2_Wine	5.0000
rom_subject_hellenic_magistrate_3_lack_slaves	rom_subject_hellenic_magistrate_3_lack_slaves	5.0000
rom_subject_hellenic_magistrate_4_plenty_slaves	rom_subject_hellenic_magistrate_4_plenty_slaves	5.0000
rom_subject_hellenic_magistrate_5_bad_wife	rom_subject_hellenic_magistrate_5_bad_wife	5.0000
rom_subject_hellenic_profession_1_Goldsmith	rom_subject_hellenic_profession_1_Goldsmith	5.0000
rom_subject_hellenic_profession_2_Blacksmith	rom_subject_hellenic_profession_2_Blacksmith	5.0000
rom_subject_hellenic_profession_4_Priestess	rom_subject_hellenic_profession_4_Priestess	5.0000
rom_subject_hellenic_profession_5_Librarian	rom_subject_hellenic_profession_5_Librarian	5.0000
rom_subject_hellenic_profession_6_Slaver	rom_subject_hellenic_profession_6_Slaver	5.0000
rom_subject_hellenic_profession_7_Miner	rom_subject_hellenic_profession_7_Miner	5.0000
rom_subject_hellenic_religions_1_Dodona	rom_subject_hellenic_religions_1_Dodona	5.0000
rom_subject_hellenic_religious_2_Dodona	rom_subject_hellenic_religious_2_Dodona	5.0000
