quote_person_key	quote_person_onscreen
#quotes_people_tables;0;db/quotes_people_tables/quotes_people	
accius	Lucius Accius, Roman poet (170 - 86BC)
aeschylus	Aeschylus, Greek playwright (525 - 455BC)
aesop	Aesop, Greek storyteller (620 - 564BC)
agesilaus	Agesilaus II of Sparta (444 - 360BC), whilst holding his spear outstretched
agis	Agis II of Sparta (d. 401BC)
alcaeus	Alcaeus of Mytilene, Greek poet (c. 620 - 6th century BC)
ambrose	Saint Ambrose (AD330 - 397)
ammianus	Ammianus Marcellinus, Roman soldier and historian (AD 325 - 400)
ammianus_alani	Ammianus Marcellinus, Roman soldier and historian (AD 325 - 400), on the Alani
anacreon	Anacreon, Greek poet (582 - 485BC)
apuleius	Lucius Apuleius, Latin writer (AD125 - 180) 
archidamus	Archidamus II of Sparta (d. 427BC)
archimedes	Archimedes, Greek inventor (287 - 212BC)
archimedes_last	Archimedes, Greek inventor (287 - 212BC), his last words
aristophanes	Aristophanes, Athenian playwright (446 - 386BC)
aristotle	Aristotle, Greek philosopher (384 - 322BC)
athenagoras	Athenagoras of Syracuse (c. 415BC)
augustus	Augustus, Roman Emperor (63BC - AD14)
augustus_last	Augustus, Roman Emperor (63BC - AD14), on his deathbed
augustus_teutobergerwald	Augustus, Roman Emperor (63BC - AD14), following the massacre at Teutoburg Forest
aurelius_victor	Aurelius Victor, Roman historian and politician (AD 320 - 390), on Aurelian
byron	Lord Byron, English poet (AD1788 - 1824)
caesar	Julius Caesar, Roman general and statesman (100 - 44BC)
caesar_last	Julius Caesar, Roman general and statesman (100 - 44BC), after being mortally wounded
caligula	Caligula, Roman Emperor (AD12 - 41)
cassius_dio_caledones	Cassius Dio, Roman historian and statesman (AD 155 - 235), on the Caledoni
catullus	Catullus, Roman poet (84 - 54BC)
chilon	Chilon of Sparta (c. 6th century BC), one of the Seven Sages of Greece
cicero	Cicero, Roman lawyer and statesman (106 - 43BC)
claudius	Claudius, Roman Emperor (10BC - AD54)
claudius_aurelian	Claudius, Roman Emperor (AD 210 - 270), to Aurelian
claudius_last	Claudius, Roman Emperor (10BC - AD54), on his deathbed
constantine	Constantine, Roman Emperor (AD272 - 337), prior to the Battle of Milvian Bridge
ed_gibbon	Edward Gibbon, English historian (1737 – 1794)
epimenides	Epimenides of Knossos, Greek philosopher (c. 6th century BC)
euphemus	Euphemus, Archon of Athens (c. 416BC)
euripides	Euripides, Greek playwright (480 - 406BC)
fabius_vs_carthage	Fabius, Roman statesman (280 - 203BC), facing the Carthaginian Senate
galba	Galba, Roman Emperor (3BC - AD69), to the soldiers who killed him
gladiator	Said by gladiators before combat
hannibal	Hannibal Barca, Carthaginian general (247 - 182BC)
hermocrates	Hermocrates, Syracusan General (d. 407BC)
herodotus	Herodotus, Greek historian (484 - 425BC)
historia_aug	Historia Augusta, 4th century AD
historia_aug_zenobia	Historia Augusta, 4th century AD, on Zenobia
historia_aug_zenobia_aurelian	Historia Augusta, 4th century AD, in a letter from Zenobia to Aurelian
homer	Homer, Greek poet (c. 850BC) 
